domain,ip,hop,hop_ip,rtt_ms
google.com,142.251.110.100,1,10.0.0.1,0.103
google.com,142.251.110.100,2,100.127.130.48,5.381
google.com,142.251.110.100,3,109.120.149.42,5.358
google.com,142.251.110.100,4,173.194.124.230,5.669
google.com,142.251.110.100,5,192.178.107.63,7.016
google.com,142.251.110.100,6,216.239.41.12,6.609
google.com,142.251.110.100,7,*,*
google.com,142.251.110.100,8,*,*
google.com,142.251.110.100,9,*,*
google.com,142.251.110.100,10,*,*
google.com,142.251.110.100,11,*,*
google.com,142.251.110.100,12,*,*
yandex.ru,77.88.44.55,1,10.0.0.1,0.152
yandex.ru,77.88.44.55,2,138.124.13.25,47.186
yandex.ru,77.88.44.55,3,138.124.13.254,49.492
yandex.ru,77.88.44.55,4,*,58.655
yandex.ru,77.88.44.55,5,*,*
yandex.ru,77.88.44.55,6,93.158.172.111,59.017
yandex.ru,77.88.44.55,7,*,*
yandex.ru,77.88.44.55,8,*,*
yandex.ru,77.88.44.55,9,*,*
yandex.ru,77.88.44.55,10,*,*
yandex.ru,77.88.44.55,11,*,*
yandex.ru,77.88.44.55,12,*,*
github.com,140.82.121.3,1,10.0.0.1,0.086
github.com,140.82.121.3,2,100.127.130.48,5.415
github.com,140.82.121.3,3,109.120.149.42,5.314
github.com,140.82.121.3,4,45.138.175.171,6.992
github.com,140.82.121.3,5,45.138.175.174,5.915
github.com,140.82.121.3,6,45.138.175.174,5.980
github.com,140.82.121.3,7,*,5.996
github.com,140.82.121.3,8,*,5.954
github.com,140.82.121.3,9,62.115.137.122,6.314
github.com,140.82.121.3,10,87.119.94.70,6.048
github.com,140.82.121.3,11,*,7.196
github.com,140.82.121.3,12,*,*
openai.com,172.64.154.211,1,10.0.0.1,0.113
openai.com,172.64.154.211,2,100.127.130.48,5.602
openai.com,172.64.154.211,3,109.120.149.42,5.412
openai.com,172.64.154.211,4,185.0.27.4,6.403
openai.com,172.64.154.211,5,162.158.84.79,5.924
openai.com,172.64.154.211,6,162.158.84.251,6.866
openai.com,172.64.154.211,7,172.64.154.211,6.182
