word, count, percentage
the,30,0
of,12,0
and,11,0
a,9,0
in,9,0
was,6,0
to,6,0
his,4,0
or,4,0
village,4,0
on,3,0
Vale,3,0
is,3,0
as,3,0
one,3,0
its,3,0
towns,3,0
before,3,0
he,3,0
were,3,0
for,3,0
by,3,0
many,3,0
that,2,0
high,2,0
smith,2,0
from,2,0
other,2,0
him,2,0
songs,2,0
greatest,2,0
called,2,0
child,2,0
above,2,0
man,2,0
mountain,2,0
sea,2,0
ridge,2,0
she,2,0
life,2,0
He,2,0
His,2,0
level,2,0
land,2,0
Northward,2,0
isle,2,0
The,2,0
all,2,0
ports,1,0
plowlands,1,0
mother,1,0
rises,1,0
peak,1,0
pastures,1,0
only,1,0
older,1,0
old,1,0
no,1,0
narrow,1,0
name,1,0
years,1,0
wander,1,0
this,1,0
time,1,0
told,1,0
towards,1,0
unspeaking,1,0
up,1,0
valleys,1,0
voyager,1,0
these,1,0
went,1,0
who,1,0
wizard,1,0
wizards,1,0
work,1,0
working,1,0
year,1,0
Alders,1,0
stone,1,0
say,1,0
serve,1,0
since,1,0
single,1,0
six,1,0
slope,1,0
snow,1,0
some,1,0
sail,1,0
stormracked,1,0
surely,1,0
tale,1,0
tenderness,1,0
than,1,0
their,1,0
there,1,0
bays,1,0
Of,1,0
River,1,0
Sea,1,0
Sparrowhawk,1,0
Ten,1,0
Warriors,1,0
adventure,1,0
at,1,0
Northeast,1,0
became,1,0
behind,1,0
below,1,0
bends,1,0
bore,1,0
born,1,0
both,1,0
bring,1,0
Mist,1,0
Lords,1,0
Island,1,0
Gontishman,1,0
Gont,1,0
Ged,1,0
From,1,0
Earthsea,1,0
Dunys,1,0
Duny,1,0
Deed,1,0
Below,1,0
Archmage,1,0
Archipelago,1,0
Ar,1,0
forth,1,0
magic,1,0
mage,1,0
made,1,0
looking,1,0
lonely,1,0
lifts,1,0
lie,1,0
home,1,0
heights,1,0
head,1,0
has,1,0
grim,1,0
gone,1,0
given,1,0
give,1,0
mile,1,0
forest,1,0
father,1,0
farm,1,0
famous,1,0
fame,1,0
dragonlord,1,0
downward,1,0
died,1,0
day,1,0
dark,1,0
could,1,0
cities,1,0
but,1,0
brothers,1,0
bronze,1,0
